,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Air Force,35,26,9,0.743,15.19,3.34,10,6,17,1,6,5,2414,1960,,,,0.373,0.475,0.617,48.5,65.4,,3.4,0.585,15.5,,0.282
Akron,33,26,7,0.788,10.9,-1.9,13,3,13,1,10,4,2485,2014,,,,0.354,0.336,0.573,51.7,55.9,,7.9,0.551,16,,0.237
Alabama A&M,30,10,20,0.333,-23.55,-12.38,4,14,9,5,0,13,1856,2052,,,,0.375,0.328,0.466,44.7,49.6,,13,0.431,21.3,,0.237
Alabama-Birmingham,31,15,16,0.484,3.97,3.83,7,9,9,4,5,9,2051,2016,,,,0.428,0.368,0.513,49.8,49.2,,6.2,0.486,17.6,,0.26
Alabama State,30,10,20,0.333,-17.9,-11.54,8,10,7,5,3,11,1826,2007,,,,0.418,0.352,0.462,47.9,47.1,,5.2,0.418,17.6,,0.271
Alabama,32,20,12,0.625,10.81,6.24,7,9,14,2,2,9,2369,2223,,,,0.361,0.304,0.547,52.7,49.8,,8.6,0.513,16.9,,0.255
Albany (NY) NCAA,33,23,10,0.697,-1.6,-4.75,13,3,11,2,11,7,2241,2147,,,,0.329,0.344,0.55,52.2,54.6,,4.8,0.517,17.7,,0.237
Alcorn State,30,11,19,0.367,-22.48,-13.23,10,8,8,3,3,12,2012,2265,,,,0.397,0.298,0.496,49.3,40.1,,4.8,0.456,21.7,,0.267
American,30,16,14,0.533,-2.68,-4.38,7,7,10,3,6,11,1945,1865,,,,0.361,0.317,0.524,51.7,59.6,,4.5,0.482,18.2,,0.263
Appalachian State,33,25,8,0.758,4.68,-1.19,15,3,12,1,9,6,2508,2239,,,,0.326,0.363,0.569,51,56.5,,6.6,0.545,18.1,,0.224
Arizona State,30,8,22,0.267,3.31,7.95,2,16,7,11,1,10,1755,1853,,,,0.291,0.401,0.502,51.5,61.9,,4.1,0.476,19.9,,0.191
Arizona NCAA,31,20,11,0.645,16.24,10.76,11,7,11,5,7,4,2417,2247,,,,0.416,0.285,0.57,54.1,60.4,,5.3,0.527,16.8,,0.312
Little Rock,30,13,17,0.433,-9.87,-5.56,8,10,7,6,5,11,1979,2075,,,,0.426,0.326,0.518,53.6,57.8,,4.5,0.48,19,,0.286
Arkansas-Pine Bluff,31,12,19,0.387,-17.21,-10.86,9,9,7,3,4,15,1862,2022,,,,0.335,0.243,0.459,49.1,43.5,,7.4,0.427,19.3,,0.21
Arkansas State,33,18,15,0.545,-6.47,-5.63,11,7,11,2,5,10,2392,2375,,,,0.395,0.334,0.553,49.3,55,,6.3,0.523,19,,0.269
Arkansas NCAA,35,21,14,0.6,13.77,8.75,7,9,13,3,2,8,2487,2311,,,,0.382,0.321,0.551,51.8,59.1,,11,0.517,19.1,,0.269
Army,31,15,16,0.484,-9.06,-4.52,4,10,10,4,3,12,1896,1892,,,,0.356,0.308,0.528,49.6,62,,5.8,0.493,21.8,,0.248
Auburn,32,17,15,0.531,6.77,7.47,7,9,15,5,2,7,2340,2307,,,,0.341,0.374,0.537,50.5,62.5,,7,0.516,19.4,,0.215
Austin Peay,33,21,12,0.636,-3.45,-5.09,16,4,13,2,7,9,2310,2211,,,,0.416,0.33,0.537,49.5,55.1,,5.4,0.502,16.8,,0.284
Ball State,31,9,22,0.29,-4.47,1.03,5,11,7,7,2,11,1848,1974,,,,0.372,0.274,0.469,49.4,49.6,,5,0.422,17.5,,0.258
Baylor,31,15,16,0.484,5.42,3.88,4,12,13,5,0,9,2333,2262,,,,0.358,0.387,0.556,51.6,52.6,,6.6,0.53,17.7,,0.24
Belmont NCAA,33,23,10,0.697,-0.39,-4.71,14,4,9,2,10,6,2390,2128,,,,0.32,0.442,0.565,51.9,60.5,,5.5,0.54,20,,0.221
Bethune-Cookman,30,9,21,0.3,-20.71,-9.53,6,12,6,7,3,13,1631,1925,,,,0.372,0.301,0.467,48.7,55.5,,6.3,0.435,21.7,,0.228
Binghamton,29,13,16,0.448,-8.06,-6.96,6,10,7,6,5,9,1905,1918,,,,0.317,0.384,0.52,48.6,44.9,,3.9,0.49,18.5,,0.217
Boise State,31,17,14,0.548,3,0,8,8,13,2,3,11,2360,2234,,,,0.386,0.355,0.546,51.4,54.6,,5.6,0.518,18,,0.255
Boston College NCAA,33,21,12,0.636,13.76,9.21,10,6,14,4,5,6,2453,2303,,,,0.449,0.319,0.573,51.2,57.4,,9.6,0.533,17.5,,0.325
Boston University,30,12,18,0.4,-4.62,-4.65,8,8,7,7,5,10,1802,1801,,,,0.349,0.39,0.522,50.1,55.1,,7,0.491,19.8,,0.236
Bowling Green State,31,13,18,0.419,-5.48,-1.08,3,13,8,7,3,10,2062,2137,,,,0.35,0.359,0.532,46.7,62.1,,7,0.502,18.5,,0.237
Bradley,35,22,13,0.629,10.89,7.22,10,8,14,3,5,8,2616,2475,,,,0.307,0.413,0.568,44.9,58.9,,4.4,0.546,14.8,,0.208
Brigham Young NCAA,34,25,9,0.735,11.38,3.95,13,3,17,0,6,7,2654,2347,,,,0.347,0.311,0.575,54.5,55.8,,6.2,0.555,16.5,,0.229
Brown,29,11,18,0.379,-7.03,-4.21,6,8,6,4,4,12,1759,1840,,,,0.514,0.442,0.565,45,66.2,,5.2,0.513,22.3,,0.382
Bucknell,31,22,9,0.71,2.84,-3.03,13,1,10,2,11,6,1965,1791,,,,0.443,0.359,0.574,54.5,64.5,,3.2,0.534,21,,0.32
Buffalo,31,12,19,0.387,-3.92,-0.15,4,12,8,7,2,11,2109,2226,,,,0.434,0.302,0.504,54.7,60,,4.8,0.458,22.1,,0.3
Butler NCAA,36,29,7,0.806,14.34,3.94,13,3,14,2,8,4,2434,2056,,,,0.406,0.486,0.569,48.8,56,,3.8,0.525,13.8,,0.309
Cal Poly,30,19,11,0.633,-2.33,-3.83,9,5,12,2,5,7,2265,2160,,,,0.336,0.411,0.563,49.2,53.3,,5.6,0.546,16.2,,0.215
Cal State Fullerton,30,20,10,0.667,-1.91,-5.3,9,5,12,2,7,7,2462,2291,,,,0.319,0.341,0.542,51.5,57.3,,3.6,0.521,16.9,,0.205
Cal State Northridge,31,14,17,0.452,-6.12,-1.88,5,9,10,5,2,11,2340,2353,,,,0.387,0.275,0.534,54.9,54.5,,4.6,0.494,21.3,,0.275
UC-Irvine,33,15,18,0.455,-3.77,-1.43,6,8,9,3,3,13,2186,2210,,,,0.39,0.335,0.551,52.4,56.9,,7.2,0.512,21.3,,0.282
UC-Riverside,31,7,24,0.226,-15.19,-3.08,1,13,4,8,2,14,1991,2249,,,,0.248,0.363,0.486,45.7,50,,2.7,0.458,17.2,,0.17
UC-Santa Barbara,29,18,11,0.621,-0.81,-3.47,9,5,8,6,10,4,2065,1955,,,,0.378,0.321,0.565,50.6,55.2,,5.3,0.529,18,,0.274
University of California,33,16,17,0.485,8.64,8.67,6,12,8,7,3,8,2293,2281,,,,0.281,0.375,0.547,48,54.4,,3.5,0.512,15.5,,0.216
Campbell,31,14,17,0.452,-10.88,-5.42,7,11,12,3,1,13,2433,2446,,,,0.442,0.383,0.557,48.4,62.8,,4.8,0.514,20.2,,0.319
Canisius,31,12,19,0.387,-8.22,-5.16,6,12,4,9,7,9,2154,2249,,,,0.324,0.347,0.508,51.1,52.6,,4.4,0.48,19.4,,0.211
Centenary (LA),31,10,21,0.323,-9.17,-2.62,3,11,8,5,1,13,2125,2328,,,,0.36,0.294,0.529,45.4,54.9,,3.8,0.491,19.2,,0.258
Central Connecticut State NCAA,34,22,12,0.647,-3.63,-6.48,16,2,13,4,9,5,2344,2247,,,,0.378,0.378,0.545,51.4,53.7,,6.1,0.505,18.3,,0.276
Central Florida,31,22,9,0.71,4.74,-1.48,11,5,15,1,5,6,2258,2020,,,,0.422,0.374,0.58,52.5,61.3,,6.5,0.544,19.9,,0.305
Central Michigan,31,13,18,0.419,-5.34,-0.6,7,9,6,7,5,9,2035,2182,,,,0.46,0.367,0.536,50.3,46.7,,5.2,0.486,22.2,,0.334
Charleston Southern,30,8,22,0.267,-15.08,-3.04,2,12,8,5,0,15,2043,2198,,,,0.296,0.352,0.52,50.5,56,,3.2,0.499,19.3,,0.189
Charlotte,30,14,16,0.467,-0.29,1.38,7,9,10,4,2,10,2101,2151,,,,0.362,0.453,0.516,51.6,52.6,,4,0.478,15.8,,0.253
Chattanooga,33,15,18,0.455,-5.94,-2.18,6,12,9,7,4,8,2261,2256,,,,0.406,0.402,0.525,52.6,56.5,,3.2,0.498,19.8,,0.257
Chicago State,29,9,20,0.31,-6.59,1.3,,,3,3,4,16,2110,2252,,,,0.318,0.306,0.532,47,50.3,,6.2,0.499,17.1,,0.227
Cincinnati,30,11,19,0.367,3.8,6.97,2,14,10,8,0,9,1937,2032,,,,0.297,0.347,0.488,50.2,53.3,,3.8,0.459,16,,0.196
Citadel,30,7,23,0.233,-14.84,-0.81,4,14,5,9,2,13,1758,2041,,,,0.303,0.384,0.496,48,54.3,,2.1,0.472,19.9,,0.192
Clemson,36,25,11,0.694,15.35,7.82,7,9,16,4,6,6,2636,2365,,,,0.282,0.334,0.536,51.4,55.3,,9.8,0.526,17.2,,0.163
Cleveland State,31,10,21,0.323,-6.59,1.31,3,13,6,8,3,12,1974,2129,,,,0.318,0.37,0.489,47.5,52.2,,7.5,0.45,17.2,,0.227
Coastal Carolina,30,15,15,0.5,-7.2,-5.66,7,7,12,5,3,10,2231,2141,,,,0.29,0.353,0.538,50.6,59.9,,4.5,0.515,17.9,,0.194
Colgate,29,10,19,0.345,-10.27,-4.3,5,9,5,9,5,9,1652,1771,,,,0.371,0.323,0.49,49.3,48.1,,5.1,0.449,20.7,,0.255
College of Charleston,33,22,11,0.667,0.7,-3.06,13,5,11,2,8,6,2290,2166,,,,0.302,0.388,0.543,50,55.5,,6.4,0.518,19,,0.205
Colorado State,30,17,13,0.567,4.09,3.71,6,10,10,4,5,7,2178,2130,,,,0.428,0.278,0.575,54.3,53.8,,8.2,0.54,21.7,,0.305
Colorado,27,7,20,0.259,-4.14,7.33,3,13,6,9,1,10,1867,2163,,,,0.379,0.317,0.502,50.3,54.2,,7.4,0.469,20.2,,0.247
Columbia,28,16,12,0.571,-6.36,-5.27,7,7,10,4,5,8,1842,1789,,,,0.34,0.353,0.564,53.4,58.4,,3,0.53,20.1,,0.25
Connecticut,31,17,14,0.548,13.22,6.09,6,10,15,5,2,8,2181,1938,,,,0.455,0.255,0.499,54.2,52.6,,14.5,0.464,17.6,,0.286
Coppin State,32,12,20,0.375,-15.2,-5.17,9,9,7,3,3,16,1972,2256,,,,0.364,0.324,0.479,44.4,43.7,,3.9,0.444,17.6,,0.236
Cornell,28,16,12,0.571,-4.63,-5.4,9,5,8,5,7,7,1856,1792,,,,0.365,0.365,0.577,50.9,57.3,,6,0.54,20.5,,0.274
Creighton NCAA,33,22,11,0.667,12.57,6.24,13,5,12,2,5,8,2220,2011,,,,0.427,0.365,0.555,51.5,59.6,,4.9,0.507,17.3,,0.322
Dartmouth,27,9,18,0.333,-13.09,-4.75,4,10,6,7,3,11,1591,1816,,,,0.274,0.278,0.491,45.9,50.9,,7,0.459,17.9,,0.193
Davidson NCAA,34,29,5,0.853,8.31,-2.26,17,1,13,1,10,3,2765,2336,,,,0.307,0.412,0.559,54.4,57.7,,4.6,0.525,16.7,,0.231
Dayton,31,19,12,0.613,2.75,1.97,8,8,15,2,2,9,2075,2051,,,,0.352,0.311,0.537,50.3,52.1,,5.5,0.505,18.5,,0.245
Delaware State,34,21,13,0.618,-6.7,-6.58,16,2,8,1,10,10,2031,1998,,,,0.324,0.398,0.542,49.3,55.8,,6.1,0.505,18,,0.24
Delaware,31,5,26,0.161,-11.41,-2.06,3,15,3,11,1,13,1874,2164,,,,0.354,0.373,0.508,45.3,52.3,,4.7,0.466,17.8,,0.254
Denver,29,4,25,0.138,-18.16,-5.89,3,15,4,10,0,15,1855,2194,,,,0.344,0.382,0.507,45.9,55.5,,2.3,0.466,19.2,,0.248
DePaul,34,20,14,0.588,12.44,8.53,9,7,14,2,5,9,2300,2152,,,,0.284,0.335,0.537,51.9,56.1,,8.3,0.516,15.7,,0.189
Detroit Mercy,30,11,19,0.367,-1.96,1.01,6,10,6,6,4,13,1913,2002,,,,0.313,0.346,0.521,51.6,54.3,,4.4,0.496,17.2,,0.204
Drake,32,17,15,0.531,3.64,4.58,6,12,11,4,2,8,2398,2374,,,,0.436,0.323,0.545,53.7,59.6,,5.1,0.503,16.7,,0.31
Drexel,32,23,9,0.719,5.43,0.52,13,5,9,4,13,5,2127,1939,,,,0.44,0.33,0.535,50.9,54.6,,9.5,0.496,18.2,,0.302
Duke NCAA,33,22,11,0.667,18.85,10.49,8,8,15,4,5,4,2323,2047,,,,0.398,0.296,0.557,53.7,52.7,,8.7,0.525,19.6,,0.274
Duquesne,29,10,19,0.345,-5.67,0.5,6,10,5,9,5,9,2271,2450,,,,0.31,0.394,0.54,46,57.8,,5.9,0.504,17.1,,0.23
East Carolina,30,6,24,0.2,-10.37,1.15,1,15,5,9,1,14,1779,2025,,,,0.343,0.376,0.478,47.9,58.3,,5.1,0.457,18.5,,0.198
East Tennessee State,34,24,10,0.706,-2.37,-5.44,16,2,15,2,8,7,2486,2287,,,,0.327,0.304,0.542,49.9,59.7,,7.9,0.509,19.9,,0.235
Eastern Illinois,30,10,20,0.333,-13.01,-7.12,6,14,7,7,3,11,1832,1988,,,,0.345,0.272,0.496,50.8,55.2,,3.7,0.452,18.4,,0.25
Eastern Kentucky NCAA,33,21,12,0.636,-4.19,-5.28,13,7,11,3,8,8,2151,2089,,,,0.281,0.448,0.561,46.7,61,,4.9,0.541,18.9,,0.191
Eastern Michigan,32,13,19,0.406,-6.83,-0.63,6,10,9,6,3,9,2039,2207,,,,0.35,0.403,0.525,50,53.5,,3.5,0.492,22.7,,0.24
Eastern Washington,29,15,14,0.517,-4.15,-2.94,8,8,10,3,5,11,2443,2394,,,,0.446,0.33,0.59,50,60.8,,5,0.551,17.7,,0.328
Elon,30,7,23,0.233,-11.23,-1.48,5,13,3,9,3,12,1874,2112,,,,0.294,0.329,0.501,48,48.8,,4.9,0.471,18.9,,0.199
Evansville,31,14,17,0.452,5.13,4.55,6,12,10,5,4,11,2131,2113,,,,0.441,0.372,0.573,48.6,61,,4.8,0.531,17.7,,0.323
Fairfield,32,13,19,0.406,-4.49,-2,10,8,7,8,5,10,1996,2070,,,,0.392,0.34,0.509,50.2,60.4,,6.3,0.465,19.4,,0.278
Fairleigh Dickinson,30,14,16,0.467,-9.71,-6.67,9,9,6,7,7,9,2193,2254,,,,0.339,0.331,0.517,49.5,49.6,,5.7,0.483,15.9,,0.235
Florida A&M NCAA,35,21,14,0.6,-9.73,-7.49,12,6,11,2,6,9,2467,2467,,,,0.455,0.309,0.539,52.5,56.4,,3.1,0.505,21.4,,0.301
Florida Atlantic,31,16,15,0.516,-10.24,-4.34,10,8,11,2,5,12,2321,2419,,,,0.39,0.304,0.574,49.7,57,,3.4,0.545,19.1,,0.271
Florida International,29,12,17,0.414,-13,-5.77,7,11,9,4,3,13,1920,2077,,,,0.354,0.341,0.507,49.6,49.9,,4.6,0.477,19,,0.232
Florida State,35,22,13,0.629,14.14,8.63,7,9,17,4,4,9,2607,2414,,,,0.337,0.32,0.577,49.9,46.3,,6,0.542,18.5,,0.256
Florida NCAA,40,35,5,0.875,23.82,7.34,13,3,18,0,5,4,3193,2504,,,,0.438,0.34,0.618,56.4,54.6,,8.4,0.596,18,,0.302
Fordham,30,18,12,0.6,1.21,-0.1,10,6,11,3,6,6,1964,1925,,,,0.401,0.338,0.53,47.9,60.2,,7.9,0.497,18.7,,0.269
Fresno State,32,22,10,0.688,4.47,-0.14,10,6,15,3,7,6,2283,2118,,,,0.376,0.48,0.527,48.1,60.3,,10,0.5,16.6,,0.244
Furman,31,15,16,0.484,-4.82,-2.68,8,10,9,5,5,10,2102,2127,,,,0.308,0.381,0.547,49.7,59.8,,3.9,0.515,19.3,,0.225
Gardner-Webb,30,9,21,0.3,-13.11,-0.95,7,11,7,5,2,14,1902,2163,,,,0.279,0.423,0.508,46.5,59.2,,5.4,0.487,20.5,,0.177
George Mason,33,18,15,0.545,4.16,-0.05,9,9,7,7,8,8,2090,1951,,,,0.29,0.327,0.538,51.8,58.6,,5,0.518,17.2,,0.187
George Washington NCAA,32,23,9,0.719,5.61,0.64,11,5,13,1,6,5,2247,2067,,,,0.34,0.258,0.538,50.6,56.1,,8.5,0.506,17.5,,0.238
Georgetown NCAA,37,30,7,0.811,19.62,9.48,13,3,14,3,9,3,2555,2146,,,,0.365,0.348,0.596,54.3,59,,9.8,0.57,18.8,,0.26
Georgia Southern,31,15,16,0.484,-6.9,-2.71,7,11,7,5,5,10,2144,2116,,,,0.329,0.239,0.514,52.3,53.3,,6,0.495,19.7,,0.2
Georgia State,31,11,20,0.355,-8.14,-0.14,5,13,7,8,3,12,1993,2226,,,,0.423,0.31,0.52,48.9,49.5,,5.4,0.486,20.4,,0.278
Georgia Tech NCAA,32,20,12,0.625,17.17,9.36,8,8,17,1,1,8,2515,2222,,,,0.342,0.283,0.567,54.3,52.5,,6.7,0.542,18.5,,0.233
Georgia,33,19,14,0.576,13.47,8.38,8,8,15,4,3,9,2477,2279,,,,0.285,0.347,0.548,54,52.7,,8,0.528,18.7,,0.19
Gonzaga NCAA,34,23,11,0.676,12.15,3.77,11,3,12,2,6,5,2668,2383,,,,0.394,0.302,0.582,52.7,52.7,,6.1,0.542,17.1,,0.296
Grambling,26,12,14,0.462,-19.99,-13.28,10,8,9,2,3,11,1669,1824,,,,0.354,0.281,0.48,49.6,46.1,,5.3,0.443,20.1,,0.236
Green Bay,33,18,15,0.545,-0.52,-0.86,7,9,11,5,6,10,2232,2173,,,,0.403,0.317,0.541,49.9,49.7,,4.8,0.492,15.7,,0.306
